  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
     600    1.146995e+01   1.220e+00   8.476e-03   1.708e-01        0
     610    1.131548e+01   1.463e-01   9.002e-03   3.939e-01        0
     620    1.105402e+01   1.662e-01   1.595e-02   4.125e-01        0
     630    1.096168e+01   1.869e-02   4.617e-03   6.231e-01        0
     640    1.077739e+01   6.602e-02   1.379e-02   7.955e-01        0
     650    1.063359e+01   2.800e-01   4.458e-03   7.008e+00        1
     660    1.055642e+01   2.873e-02   8.623e-03   1.343e+00        0
     670    1.053081e+01   9.721e-03   2.100e-03   3.083e-01        0
     680    1.043469e+01   2.759e-01   6.740e-03   9.613e-01        0
     690    1.036841e+01   3.801e-02   5.028e-03   1.963e-01        0
     700    1.021809e+01   8.025e-01   1.432e-02   8.705e+00        1
     710    1.016682e+01   2.179e-02   3.559e-03   4.863e-01        0
     720    1.012902e+01   1.549e-02   1.848e-03   7.371e-01        0
     730    1.005246e+01   2.685e-01   7.898e-03   6.034e+00        1
     740    1.000581e+01   5.210e-02   1.192e-02   5.590e-01        0
     750    9.981109e+00   1.508e-02   1.282e-03   3.621e-01        0
     760    9.924414e+00   8.283e-02   4.119e-03   2.041e+00        0
     770    9.858017e+00   3.487e-01   3.309e-03   8.106e+00        1
     780    9.802493e+00   2.179e-02   4.503e-03   7.750e-01        0
     790    9.780363e+00   2.043e-02   1.151e-03   1.320e-01        0
     800    9.710000e+00   5.085e-01   6.398e-03   2.357e-01        0
     810    9.688162e+00   2.734e-02   1.291e-03   2.239e-01        0
     820    9.656531e+00   7.787e-02   2.083e-03   4.743e-02        0
     830    9.623909e+00   6.843e-02   3.200e-03   8.314e-01        0
     840    9.551453e+00   6.967e-02   6.279e-03   1.307e+00        0
     850    9.506633e+00   7.989e-02   1.094e-02   4.488e-01        0
     860    9.443241e+00   5.078e-02   1.754e-02   2.812e+00        0
     870    9.404801e+00   7.105e-03   1.079e-03   1.491e-01        0
     880    9.329788e+00   1.930e-01   3.561e-03   9.036e+00        1
     890    9.268366e+00   9.653e-02   9.700e-03   6.194e-01        0
     900    9.240659e+00   2.091e-02   7.778e-03   4.551e-01        0
     910    9.221325e+00   3.873e-02   1.630e-03   1.421e+00        0
     920    9.184890e+00   5.082e-02   1.660e-03   8.093e-01        0
     930    9.171870e+00   3.821e-01   1.613e-03   8.700e-01        0
     940    9.148945e+00   4.679e-02   1.067e-03   7.089e-01        0
     950    9.142200e+00   5.475e-03   2.813e-04   6.539e-01        0
     960    9.105570e+00   7.989e-01   8.528e-03   6.757e+00        1
     970    9.088216e+00   2.356e-01   1.033e-02   5.129e-01        0
     980    9.068238e+00   5.423e-01   1.443e-02   1.755e+00        0
     990    9.059935e+00   3.716e-01   5.297e-03   7.592e-01        0
